date,series_id,spent_value_0d_1d_btc,spent_value_1d_1w_btc,spent_value_1w_1m_btc,spent_value_1m_3m_btc,spent_value_3m_6m_btc,spent_value_6m_1y_btc,spent_value_1y_2y_btc,spent_value_2y_3y_btc,spent_value_3y_5y_btc,spent_value_5y_7y_btc,spent_value_7y_10y_btc,spent_value_10y_plus_btc,unit,frequency,release_version
2009-01-01,obm_spent_value_age_band_btc_daily,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-01-02,obm_spent_value_age_band_btc_daily,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-01-03,obm_spent_value_age_band_btc_daily,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-01-04,obm_spent_value_age_band_btc_daily,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-01-05,obm_spent_value_age_band_btc_daily,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-01-06,obm_spent_value_age_band_btc_daily,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-01-07,obm_spent_value_age_band_btc_daily,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-01-08,obm_spent_value_age_band_btc_daily,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-01-09,obm_spent_value_age_band_btc_daily,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-01-10,obm_spent_value_age_band_btc_daily,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-01-11,obm_spent_value_age_band_btc_daily,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-01-12,obm_spent_value_age_band_btc_daily,129.00000000,50.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-01-13,obm_spent_value_age_band_btc_daily,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-01-14,obm_spent_value_age_band_btc_daily,0.00000000,61.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-01-15,obm_spent_value_age_band_btc_daily,100.00000000,400.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-01-16,obm_spent_value_age_band_btc_daily,0.00000000,200.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-01-17,obm_spent_value_age_band_btc_daily,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-01-18,obm_spent_value_age_band_btc_daily,0.00000000,150.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-01-19,obm_spent_value_age_band_btc_daily,0.00000000,775.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
2009-01-20,obm_spent_value_age_band_btc_daily,0.00000000,400.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,BTC,daily,OBM v0.1.0
