date,series_id,value,unit,frequency,release_version
2009-01-01,obm_supply_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-02,obm_supply_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-03,obm_supply_btc_daily,50.00000000,BTC,daily,OBM v0.1.0
2009-01-04,obm_supply_btc_daily,50.00000000,BTC,daily,OBM v0.1.0
2009-01-05,obm_supply_btc_daily,50.00000000,BTC,daily,OBM v0.1.0
2009-01-06,obm_supply_btc_daily,50.00000000,BTC,daily,OBM v0.1.0
2009-01-07,obm_supply_btc_daily,50.00000000,BTC,daily,OBM v0.1.0
2009-01-08,obm_supply_btc_daily,50.00000000,BTC,daily,OBM v0.1.0
2009-01-09,obm_supply_btc_daily,750.00000000,BTC,daily,OBM v0.1.0
2009-01-10,obm_supply_btc_daily,3800.00000000,BTC,daily,OBM v0.1.0
2009-01-11,obm_supply_btc_daily,8450.00000000,BTC,daily,OBM v0.1.0
2009-01-12,obm_supply_btc_daily,13150.00000000,BTC,daily,OBM v0.1.0
2009-01-13,obm_supply_btc_daily,19300.00000000,BTC,daily,OBM v0.1.0
2009-01-14,obm_supply_btc_daily,25750.00000000,BTC,daily,OBM v0.1.0
2009-01-15,obm_supply_btc_daily,32050.00000000,BTC,daily,OBM v0.1.0
2009-01-16,obm_supply_btc_daily,37450.00000000,BTC,daily,OBM v0.1.0
2009-01-17,obm_supply_btc_daily,42900.00000000,BTC,daily,OBM v0.1.0
2009-01-18,obm_supply_btc_daily,48250.00000000,BTC,daily,OBM v0.1.0
2009-01-19,obm_supply_btc_daily,54000.00000000,BTC,daily,OBM v0.1.0
2009-01-20,obm_supply_btc_daily,59700.00000000,BTC,daily,OBM v0.1.0
2009-01-21,obm_supply_btc_daily,64800.00000000,BTC,daily,OBM v0.1.0
2009-01-22,obm_supply_btc_daily,69350.00000000,BTC,daily,OBM v0.1.0
2009-01-23,obm_supply_btc_daily,73550.00000000,BTC,daily,OBM v0.1.0
2009-01-24,obm_supply_btc_daily,83600.00000000,BTC,daily,OBM v0.1.0
2009-01-25,obm_supply_btc_daily,93150.00000000,BTC,daily,OBM v0.1.0
2009-01-26,obm_supply_btc_daily,97950.00000000,BTC,daily,OBM v0.1.0
2009-01-27,obm_supply_btc_daily,102800.00000000,BTC,daily,OBM v0.1.0
2009-01-28,obm_supply_btc_daily,108400.00000000,BTC,daily,OBM v0.1.0
2009-01-29,obm_supply_btc_daily,114450.00000000,BTC,daily,OBM v0.1.0
2009-01-30,obm_supply_btc_daily,120300.00000000,BTC,daily,OBM v0.1.0
2009-01-31,obm_supply_btc_daily,127200.00000000,BTC,daily,OBM v0.1.0
2009-02-01,obm_supply_btc_daily,132850.00000000,BTC,daily,OBM v0.1.0
2009-02-02,obm_supply_btc_daily,139250.00000000,BTC,daily,OBM v0.1.0
