date,series_id,value,unit,frequency,release_version
2009-01-01,obm_tx_count_daily,0,transactions,daily,OBM v0.1.0
2009-01-02,obm_tx_count_daily,0,transactions,daily,OBM v0.1.0
2009-01-03,obm_tx_count_daily,1,transactions,daily,OBM v0.1.0
2009-01-04,obm_tx_count_daily,0,transactions,daily,OBM v0.1.0
2009-01-05,obm_tx_count_daily,0,transactions,daily,OBM v0.1.0
2009-01-06,obm_tx_count_daily,0,transactions,daily,OBM v0.1.0
2009-01-07,obm_tx_count_daily,0,transactions,daily,OBM v0.1.0
2009-01-08,obm_tx_count_daily,0,transactions,daily,OBM v0.1.0
2009-01-09,obm_tx_count_daily,14,transactions,daily,OBM v0.1.0
2009-01-10,obm_tx_count_daily,61,transactions,daily,OBM v0.1.0
2009-01-11,obm_tx_count_daily,93,transactions,daily,OBM v0.1.0
2009-01-12,obm_tx_count_daily,101,transactions,daily,OBM v0.1.0
2009-01-13,obm_tx_count_daily,123,transactions,daily,OBM v0.1.0
2009-01-14,obm_tx_count_daily,130,transactions,daily,OBM v0.1.0
2009-01-15,obm_tx_count_daily,134,transactions,daily,OBM v0.1.0
2009-01-16,obm_tx_count_daily,110,transactions,daily,OBM v0.1.0
2009-01-17,obm_tx_count_daily,109,transactions,daily,OBM v0.1.0
2009-01-18,obm_tx_count_daily,108,transactions,daily,OBM v0.1.0
2009-01-19,obm_tx_count_daily,117,transactions,daily,OBM v0.1.0
2009-01-20,obm_tx_count_daily,115,transactions,daily,OBM v0.1.0
2009-01-21,obm_tx_count_daily,103,transactions,daily,OBM v0.1.0
2009-01-22,obm_tx_count_daily,92,transactions,daily,OBM v0.1.0
2009-01-23,obm_tx_count_daily,86,transactions,daily,OBM v0.1.0
2009-01-24,obm_tx_count_daily,202,transactions,daily,OBM v0.1.0
2009-01-25,obm_tx_count_daily,192,transactions,daily,OBM v0.1.0
2009-01-26,obm_tx_count_daily,97,transactions,daily,OBM v0.1.0
2009-01-27,obm_tx_count_daily,98,transactions,daily,OBM v0.1.0
2009-01-28,obm_tx_count_daily,112,transactions,daily,OBM v0.1.0
2009-01-29,obm_tx_count_daily,122,transactions,daily,OBM v0.1.0
2009-01-30,obm_tx_count_daily,117,transactions,daily,OBM v0.1.0
2009-01-31,obm_tx_count_daily,139,transactions,daily,OBM v0.1.0
2009-02-01,obm_tx_count_daily,114,transactions,daily,OBM v0.1.0
2009-02-02,obm_tx_count_daily,129,transactions,daily,OBM v0.1.0
2009-02-03,obm_tx_count_daily,155,transactions,daily,OBM v0.1.0
2009-02-04,obm_tx_count_daily,119,transactions,daily,OBM v0.1.0
2009-02-05,obm_tx_count_daily,126,transactions,daily,OBM v0.1.0
2009-02-06,obm_tx_count_daily,122,transactions,daily,OBM v0.1.0
2009-02-07,obm_tx_count_daily,133,transactions,daily,OBM v0.1.0
2009-02-08,obm_tx_count_daily,133,transactions,daily,OBM v0.1.0
2009-02-09,obm_tx_count_daily,135,transactions,daily,OBM v0.1.0
2009-02-10,obm_tx_count_daily,120,transactions,daily,OBM v0.1.0
2009-02-11,obm_tx_count_daily,135,transactions,daily,OBM v0.1.0
2009-02-12,obm_tx_count_daily,119,transactions,daily,OBM v0.1.0
2009-02-13,obm_tx_count_daily,124,transactions,daily,OBM v0.1.0
2009-02-14,obm_tx_count_daily,136,transactions,daily,OBM v0.1.0
2009-02-15,obm_tx_count_daily,131,transactions,daily,OBM v0.1.0
2009-02-16,obm_tx_count_daily,123,transactions,daily,OBM v0.1.0
2009-02-17,obm_tx_count_daily,117,transactions,daily,OBM v0.1.0
2009-02-18,obm_tx_count_daily,118,transactions,daily,OBM v0.1.0
2009-02-19,obm_tx_count_daily,125,transactions,daily,OBM v0.1.0
2009-02-20,obm_tx_count_daily,122,transactions,daily,OBM v0.1.0
2009-02-21,obm_tx_count_daily,114,transactions,daily,OBM v0.1.0
2009-02-22,obm_tx_count_daily,125,transactions,daily,OBM v0.1.0
2009-02-23,obm_tx_count_daily,108,transactions,daily,OBM v0.1.0
